intent,response,intent_special_chars,response_special_chars
Confirm common Cold,"It looks like you may have common cold symptoms (caused by the Rhinovirus), which can result from allergies, infections, low immunity, or exposure to infected individuals. If you’d like, I can suggest remedies, diet tips, and activities to help manage your symptoms. For further evaluation, please consult a doctor.","['_', '_']","['(', ')', '’', '""']"
Cold,please check which services do you want for cold?,[],[]
Constipation Naturopathy Remedies,"waking up early in the morning, drink two glasses of warm water that was stored in a copper vessel the previous day while sitting in a malasana position. Then, eat a pinch of ginger sprinkled with rock salt.",['_'],[]
Cough Ayurvedic Remedies,"Chew and eat garlic, as it has antibacterial and antiviral properties. Additionally, take some turmeric with honey to soothe the throat and reduce irritation.

Another effective remedy: To take Karakkaya (Haritaki) powder, add it to boiling water, and let it steep. Pour it into a glass, add some honey, and drink it twice a day for best results.",['_'],"[':', '(', ')']"
other illeness,"Iam providing some remedies for othre illeness like Piles,Migraine,fits please check them",['_'],[]
Headache Remedies,let me know which type of remedies do you want?,['_'],[]
Stress Symptom Check,please check  if you have any of the  stress symptoms,"['_', '_']",[]
Headache  Ayurvedic Remedies,Take a handful of coriander seeds (dhaniyalu) and mix them with a little water to make a thick paste. Apply this paste to the affected area (maadu),['_'],"['(', ')', '(', ')']"
Diarrhea Ayurvedic Remedies,"karakkaya(Haritaki),Thanikaya(Bibhitaki),Amla(Bibhitaki),kaachu(chandr chakra saaram) take all these into powder as 5grams and mix it with butter milk and drink this can help for loose,motions gum motions, and blood motions",['_'],"['(', ')', '(', ')', '(', ')', '(', ')']"
Vomitings,please let me know which type of services do you want?,[],[]
Confirm Low BP,"Your symptoms suggest low blood pressure. While I can provide basic information, a medical professional is best suited to assess your condition. Please consider seeking medical advice from a doctor for appropriate care.","['_', '_']",[]
Confirm Emotional Stress,"Emotional stress can impact both mental and physical well-being, To manage emotional stress, try relaxation techniques, meditation, deep breathing, and talking to a trusted person. If stress becomes overwhelming, consider seeking professional support","['_', '_']",[]
Confirm Physical Stress,"Physical stress occurs when the body is overworked due to excessive physical activity,To manage physical stress, get enough rest, stay hydrated, eat a balanced diet, and practice relaxation techniques like stretching or deep breathing,If symptoms persist, consult a doctor","['_', '_']",[]
Confirm Emotional Stress,"Emotional stress can impact both mental and physical well-being, To manage emotional stress, try relaxation techniques, meditation, deep breathing, and talking to a trusted person. If stress becomes overwhelming, consider seeking professional support","['_', '_']",[]
heatwaves Home Remedies,"1.glass of  buttermilk,A pinch of salt,1 teaspoon of sugar A few drops of lemon juice mix well which helps for  Preventing dehydration Soothes the stomach and  Balances electrolytes in body                                                                            
                                                                         2    

Take fresh ash gourd, cut it into pieces, and grind well to extract the juice. Filter it and take 15 to 20 ml of the juice, adding a little sugar for taste. Consume this 3 to 4 times a day to keep the body hydrated and protect against heat waves.",['_'],[]
Other Diarrhea Symptoms,"I Cannot determine other diarrhea-related symptoms. If you're experiencing severe or unusual symptoms, please consult your doctor for proper evaluation and guidance.","['_', '_']",[]
Confirm Motion Sickness,"Motion sickness occurs when there is a disconnect between what your eyes see and what your inner ear senses during movement, such as in a car, boat, or airplane,To prevent it, focus on a fixed point, avoid reading while traveling, stay hydrated, and take deep breaths. take consult rom medical practitioner and do accordingly","['_', '_']","['""']"
Constipation Medication,"TOPLAC (Lactulose Solution USP), Dose- 10gm/15ml, cause- Lactulose is used to treat constipation. It helps increase the number of bowel movements per day and the number of days on which bowel movements occur in patients with a history of chronic (long-lasting) constipation",['_'],"['(', ')', '/', '(', ')']"
Fever Diet,"the foods recomended for fever includes fresh fruits,cooked vegetables,soups(mixed vegetables),coconut water because it is more important to keep your body more hyderated as well some probiotics for good gut health",['_'],"['(', ')']"
Cough Ayurvedic Remedies,"Chew and eat garlic, as it has antibacterial and antiviral properties. Additionally, take some turmeric with honey to soothe the throat and reduce irritation.

Another effective remedy: To take Karakkaya (Haritaki) powder, add it to boiling water, and let it steep. Pour it into a glass, add some honey, and drink it twice a day for best results.",['_'],"[':', '(', ')']"
Other Diarrhea Symptoms,"I Cannot determine other diarrhea-related symptoms. If you're experiencing severe or unusual symptoms, please consult your doctor for proper evaluation and guidance.","['_', '_']",[]
Vomitings,please let me know which type of services do you want?,[],[]
Cold Symptom Check,could you please tell me which type of cold symptoms do you have?,"['_', '_']",[]
Hairfall Naturopathy Remedies,"Take Drumstick leaves 2 cups,half cup curd,1/3cup amla powder make whole as paste and apply to your scalp and let it be half an hour and dhead bath,do this twice a week  which helps for mosturizing your scalp",['_'],['/']
Diarrhea Diet,"while you are suffering with loose motions it is good to keep body more hydrated so that drink water eventually with gaps low consumption, drink coconut water with which contains electrolytes some pleople want more so add electral  powder to it and drink and for solid food eat curd rice",['_'],[]
Hairfall Ayurvedi Remedie,"Take 1 cup of coconut milk, apply it to your scalp and all your hair, then cover your scalp with a warm towel. Wash it off. This should be done after a head bath",['_'],[]
heatwaves Diets,"Drink more water stored in a mud pot, as it has a natural cooling effect. Consume juices made from seasonal fruits. Eat curd rice and drink buttermilk, which are rich in probiotics. Include fruits like muskmelon and watermelon in your diet. Also, eat sabudana (sago) for better digestion and energy",['_'],"['(', ')']"
Other illeness Piles,lemon with milk immediate consumption  can helps for piles,"['_', '_']",[]
Headache  Ayurvedic Remedies,Take a handful of coriander seeds (dhaniyalu) and mix them with a little water to make a thick paste. Apply this paste to the affected area (maadu),['_'],"['(', ')', '(', ')']"
Constipation Diet,"Fiber supports the microbiome :the healthy balance of bacteria in the digestive track so,eat fiber rich foods like apple,banana,greenleafy vegetables,whole grains cooked vegetables, aslo eat curd rice which contains good bacteria like Lactobacillus which supports gut health",['_'],[':']
Hairfall Ayurvedi Remedie,"Take 1 cup of coconut milk, apply it to your scalp and all your hair, then cover your scalp with a warm towel. Wash it off. This should be done after a head bath",['_'],[]
Cold Physical Activity,"Go jogging with natural and deep breathing, allowing yourself to inhale fresh air properly for about 20 minutes. After that, practice Surya Namaskar to help your body absorb more oxygen for an extended period. Finally, perform Pranayama only if needed to further enhance your breathing and overall well-being.","['_', '_']",[]
heatwaves Diets,"Drink more water stored in a mud pot, as it has a natural cooling effect. Consume juices made from seasonal fruits. Eat curd rice and drink buttermilk, which are rich in probiotics. Include fruits like muskmelon and watermelon in your diet. Also, eat sabudana (sago) for better digestion and energy",['_'],"['(', ')']"
